



L1_CACHE_SIZE:32 , L2_CACHE_SIZE:32 	(T:8,IN:0,BO:0)	(T:8,IN:0,BO:0)
================================

MODIFY	:  202	 	 TAG: 11001010(202)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:768 
READ	:   28	 	 TAG: 00011100( 28)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:767 
WRITE	:   15	 	 TAG: 00001111( 15)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:21 	AGE:766 
READ	:  214	 	 TAG: 11010110(214)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:765 
WRITE	:   80	 	 TAG: 01010000( 80)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:21 	AGE:764 
READ	:    8	 	 TAG: 00001000(  8)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:763 
MODIFY	:  151	 	 TAG: 10010111(151)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:762 
MODIFY	:   85	 	 TAG: 01010101( 85)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:761 
READ	:   86	 	 TAG: 01010110( 86)			MISS:	CAPACITY	REPLACE:(101)		CYCLES:10 	AGE:318 
WRITE	:   88	 	 TAG: 01011000( 88)			HIT										CYCLES:5 	AGE:317 
READ	:  230	 	 TAG: 11100110(230)			MISS:	CAPACITY	REPLACE:(196)		CYCLES:10 	AGE:316 
READ	:   27	 	 TAG: 00011011( 27)			MISS:	CAPACITY	REPLACE:(157)		CYCLES:10 	AGE:315 
READ	:  220	 	 TAG: 11011100(220)			VICTIM_HIT								CYCLES:6 	AGE:324 
READ	:  228	 	 TAG: 11100100(228)			MISS:	CAPACITY	REPLACE:( 20)		CYCLES:10 	AGE:313 
WRITE	:  142	 	 TAG: 10001110(142)			MISS:	CAPACITY	REPLACE:(225)		CYCLES:21 	AGE:312 
WRITE	:  121	 	 TAG: 01111001(121)			VICTIM_HIT								CYCLES:20 	AGE:322 
READ	:   36	 	 TAG: 00100100( 36)			MISS:	CAPACITY	REPLACE:( 55)		CYCLES:10 	AGE:310 
READ	:    0	 	 TAG: 00000000(  0)			MISS:	CAPACITY	REPLACE:(212)		CYCLES:10 	AGE:309 
WRITE	:  151	 	 TAG: 10010111(151)			MISS:	CAPACITY	REPLACE:( 86)		CYCLES:21 	AGE:308 
MODIFY	:  136	 	 TAG: 10001000(136)			MISS:	CAPACITY	REPLACE:( 88)		CYCLES:10 	AGE:307 
WRITE	:  212	 	 TAG: 11010100(212)			L2_HIT									CYCLES:12 	AGE:316 
WRITE	:   87	 	 TAG: 01010111( 87)			MISS:	CAPACITY	REPLACE:(230)		CYCLES:21 	AGE:305 
MODIFY	:   67	 	 TAG: 01000011( 67)			MISS:	CAPACITY	REPLACE:( 27)		CYCLES:10 	AGE:304 
READ	:  171	 	 TAG: 10101011(171)			MISS:	CAPACITY	REPLACE:(228)		CYCLES:10 	AGE:303 
MODIFY	:  229	 	 TAG: 11100101(229)			MISS:	CAPACITY	REPLACE:(142)		CYCLES:10 	AGE:302 
READ	:   15	 	 TAG: 00001111( 15)			MISS:	CAPACITY	REPLACE:( 36)		CYCLES:10 	AGE:301 
WRITE	:  121	 	 TAG: 01111001(121)			VICTIM_HIT								CYCLES:20 	AGE:309 
MODIFY	:   74	 	 TAG: 01001010( 74)			MISS:	CAPACITY	REPLACE:(  0)		CYCLES:10 	AGE:299 
WRITE	:  158	 	 TAG: 10011110(158)			MISS:	CAPACITY	REPLACE:(151)		CYCLES:21 	AGE:298 
READ	:  172	 	 TAG: 10101100(172)			MISS:	CAPACITY	REPLACE:(136)		CYCLES:10 	AGE:297 
WRITE	:   48	 	 TAG: 00110000( 48)			MISS:	CAPACITY	REPLACE:( 87)		CYCLES:21 	AGE:296 
WRITE	:  170	 	 TAG: 10101010(170)			MISS:	CAPACITY	REPLACE:( 67)		CYCLES:21 	AGE:295 
MODIFY	:  184	 	 TAG: 10111000(184)			MISS:	CAPACITY	REPLACE:(171)		CYCLES:10 	AGE:294 
READ	:  224	 	 TAG: 11100000(224)			MISS:	CAPACITY	REPLACE:(229)		CYCLES:10 	AGE:293 
READ	:  157	 	 TAG: 10011101(157)			MISS:	CAPACITY	REPLACE:( 15)		CYCLES:10 	AGE:292 
READ	:  151	 	 TAG: 10010111(151)			L2_HIT									CYCLES:3 	AGE:299 
READ	:   60	 	 TAG: 00111100( 60)			MISS:	CAPACITY	REPLACE:( 74)		CYCLES:10 	AGE:290 
MODIFY	:  224	 	 TAG: 11100000(224)			HIT										CYCLES:1 	AGE:293 
MODIFY	:  202	 	 TAG: 11001010(202)			MISS:	CAPACITY	REPLACE:(158)		CYCLES:10 	AGE:288 
READ	:   95	 	 TAG: 01011111( 95)			MISS:	CAPACITY	REPLACE:(172)		CYCLES:10 	AGE:287 
MODIFY	:    8	 	 TAG: 00001000(  8)			MISS:	CAPACITY	REPLACE:( 48)		CYCLES:10 	AGE:286 
READ	:   14	 	 TAG: 00001110( 14)			MISS:	CAPACITY	REPLACE:(170)		CYCLES:10 	AGE:285 
MODIFY	:  226	 	 TAG: 11100010(226)			MISS:	CAPACITY	REPLACE:(184)		CYCLES:10 	AGE:284 
READ	:   91	 	 TAG: 01011011( 91)			MISS:	CAPACITY	REPLACE:(224)		CYCLES:10 	AGE:283 
MODIFY	:  143	 	 TAG: 10001111(143)			MISS:	CAPACITY	REPLACE:(157)		CYCLES:10 	AGE:282 
WRITE	:   85	 	 TAG: 01010101( 85)			MISS:	CAPACITY	REPLACE:( 60)		CYCLES:21 	AGE:281 
READ	:  187	 	 TAG: 10111011(187)			MISS:	CAPACITY	REPLACE:(202)		CYCLES:10 	AGE:280 
MODIFY	:  224	 	 TAG: 11100000(224)			L2_HIT									CYCLES:3 	AGE:287 
READ	:  229	 	 TAG: 11100101(229)			MISS:	CAPACITY	REPLACE:( 95)		CYCLES:10 	AGE:278 
WRITE	:  193	 	 TAG: 11000001(193)			MISS:	CAPACITY	REPLACE:(  8)		CYCLES:21 	AGE:277 
MODIFY	:  218	 	 TAG: 11011010(218)			MISS:	CAPACITY	REPLACE:( 14)		CYCLES:10 	AGE:276 
WRITE	:  232	 	 TAG: 11101000(232)			MISS:	CAPACITY	REPLACE:(226)		CYCLES:21 	AGE:275 
WRITE	:  223	 	 TAG: 11011111(223)			MISS:	CAPACITY	REPLACE:( 91)		CYCLES:21 	AGE:274 
WRITE	:  184	 	 TAG: 10111000(184)			MISS:	CAPACITY	REPLACE:(143)		CYCLES:21 	AGE:273 
READ	:   50	 	 TAG: 00110010( 50)			MISS:	CAPACITY	REPLACE:( 85)		CYCLES:10 	AGE:272 
MODIFY	:   20	 	 TAG: 00010100( 20)			MISS:	CAPACITY	REPLACE:(187)		CYCLES:10 	AGE:271 
WRITE	:  151	 	 TAG: 10010111(151)			VICTIM_HIT								CYCLES:20 	AGE:278 
READ	:  188	 	 TAG: 10111100(188)			MISS:	CAPACITY	REPLACE:(229)		CYCLES:10 	AGE:269 
READ	:   50	 	 TAG: 00110010( 50)			HIT										CYCLES:1 	AGE:272 
READ	:  190	 	 TAG: 10111110(190)			MISS:	CAPACITY	REPLACE:(193)		CYCLES:10 	AGE:267 
READ	:  182	 	 TAG: 10110110(182)			MISS:	CAPACITY	REPLACE:(218)		CYCLES:10 	AGE:266 
WRITE	:  222	 	 TAG: 11011110(222)			MISS:	CAPACITY	REPLACE:(232)		CYCLES:21 	AGE:265 
READ	:    6	 	 TAG: 00000110(  6)			MISS:	CAPACITY	REPLACE:(223)		CYCLES:10 	AGE:264 
MODIFY	:   81	 	 TAG: 01010001( 81)			MISS:	CAPACITY	REPLACE:(184)		CYCLES:10 	AGE:263 
MODIFY	:  110	 	 TAG: 01101110(110)			MISS:	CAPACITY	REPLACE:( 50)		CYCLES:10 	AGE:262 
READ	:  200	 	 TAG: 11001000(200)			MISS:	CAPACITY	REPLACE:( 20)		CYCLES:10 	AGE:261 
MODIFY	:  223	 	 TAG: 11011111(223)			L2_HIT									CYCLES:3 	AGE:269 
MODIFY	:   12	 	 TAG: 00001100( 12)			MISS:	CAPACITY	REPLACE:(188)		CYCLES:10 	AGE:259 
WRITE	:  154	 	 TAG: 10011010(154)			MISS:	CAPACITY	REPLACE:(190)		CYCLES:21 	AGE:258 
READ	:  150	 	 TAG: 10010110(150)			MISS:	CAPACITY	REPLACE:(182)		CYCLES:10 	AGE:257 
MODIFY	:  148	 	 TAG: 10010100(148)			MISS:	CAPACITY	REPLACE:(222)		CYCLES:10 	AGE:256 
MODIFY	:  153	 	 TAG: 10011001(153)			MISS:	CAPACITY	REPLACE:(  6)		CYCLES:10 	AGE:255 
MODIFY	:  225	 	 TAG: 11100001(225)			MISS:	CAPACITY	REPLACE:( 81)		CYCLES:10 	AGE:254 
READ	:  117	 	 TAG: 01110101(117)			MISS:	CAPACITY	REPLACE:(110)		CYCLES:10 	AGE:253 
MODIFY	:  233	 	 TAG: 11101001(233)			MISS:	CAPACITY	REPLACE:(200)		CYCLES:10 	AGE:252 
MODIFY	:  198	 	 TAG: 11000110(198)			MISS:	CAPACITY	REPLACE:( 12)		CYCLES:10 	AGE:251 
READ	:  217	 	 TAG: 11011001(217)			MISS:	CAPACITY	REPLACE:(154)		CYCLES:10 	AGE:250 
READ	:   25	 	 TAG: 00011001( 25)			MISS:	CAPACITY	REPLACE:(150)		CYCLES:10 	AGE:249 
WRITE	:  198	 	 TAG: 11000110(198)			HIT										CYCLES:5 	AGE:248 
MODIFY	:  246	 	 TAG: 11110110(246)			MISS:	CAPACITY	REPLACE:(148)		CYCLES:10 	AGE:247 
MODIFY	:   87	 	 TAG: 01010111( 87)			VICTIM_HIT								CYCLES:6 	AGE:255 
WRITE	:  176	 	 TAG: 10110000(176)			MISS:	CAPACITY	REPLACE:(153)		CYCLES:21 	AGE:245 
WRITE	:   79	 	 TAG: 01001111( 79)			MISS:	CAPACITY	REPLACE:(225)		CYCLES:21 	AGE:244 
WRITE	:  100	 	 TAG: 01100100(100)			MISS:	CAPACITY	REPLACE:(117)		CYCLES:21 	AGE:243 
WRITE	:  112	 	 TAG: 01110000(112)			MISS:	CAPACITY	REPLACE:(233)		CYCLES:21 	AGE:242 
READ	:   80	 	 TAG: 01010000( 80)			MISS:	CAPACITY	REPLACE:(217)		CYCLES:10 	AGE:241 
READ	:  115	 	 TAG: 01110011(115)			MISS:	CAPACITY	REPLACE:( 25)		CYCLES:10 	AGE:240 
READ	:  117	 	 TAG: 01110101(117)			L2_HIT									CYCLES:3 	AGE:248 
READ	:  233	 	 TAG: 11101001(233)			L2_HIT									CYCLES:3 	AGE:248 
READ	:  180	 	 TAG: 10110100(180)			MISS:	CAPACITY	REPLACE:(198)		CYCLES:10 	AGE:237 
READ	:  112	 	 TAG: 01110000(112)			HIT										CYCLES:1 	AGE:242 
MODIFY	:  199	 	 TAG: 11000111(199)			MISS:	CAPACITY	REPLACE:(246)		CYCLES:10 	AGE:235 
READ	:   71	 	 TAG: 01000111( 71)			MISS:	CAPACITY	REPLACE:(176)		CYCLES:10 	AGE:234 
MODIFY	:   80	 	 TAG: 01010000( 80)			HIT										CYCLES:1 	AGE:241 
WRITE	:   67	 	 TAG: 01000011( 67)			MISS:	CAPACITY	REPLACE:( 79)		CYCLES:21 	AGE:232 
READ	:   85	 	 TAG: 01010101( 85)			VICTIM_HIT								CYCLES:6 	AGE:243 
MODIFY	:  188	 	 TAG: 10111100(188)			MISS:	CAPACITY	REPLACE:(100)		CYCLES:10 	AGE:230 
WRITE	:  210	 	 TAG: 11010010(210)			MISS:	CAPACITY	REPLACE:(112)		CYCLES:21 	AGE:229 
MODIFY	:  146	 	 TAG: 10010010(146)			MISS:	CAPACITY	REPLACE:( 80)		CYCLES:10 	AGE:228 
WRITE	:  176	 	 TAG: 10110000(176)			L2_HIT									CYCLES:12 	AGE:240 
READ	:  128	 	 TAG: 10000000(128)			MISS:	CAPACITY	REPLACE:(115)		CYCLES:10 	AGE:226 
MODIFY	:  237	 	 TAG: 11101101(237)			MISS:	CAPACITY	REPLACE:(180)		CYCLES:10 	AGE:225 
MODIFY	:  219	 	 TAG: 11011011(219)			MISS:	CAPACITY	REPLACE:(199)		CYCLES:10 	AGE:224 
MODIFY	:  231	 	 TAG: 11100111(231)			MISS:	CAPACITY	REPLACE:( 71)		CYCLES:10 	AGE:223 
READ	:   78	 	 TAG: 01001110( 78)			MISS:	CAPACITY	REPLACE:( 67)		CYCLES:10 	AGE:222 
MODIFY	:   33	 	 TAG: 00100001( 33)			MISS:	CAPACITY	REPLACE:(188)		CYCLES:10 	AGE:221 
READ	:  160	 	 TAG: 10100000(160)			MISS:	CAPACITY	REPLACE:(210)		CYCLES:10 	AGE:220 
READ	:  197	 	 TAG: 11000101(197)			MISS:	CAPACITY	REPLACE:(146)		CYCLES:10 	AGE:219 
WRITE	:  133	 	 TAG: 10000101(133)			MISS:	CAPACITY	REPLACE:(128)		CYCLES:21 	AGE:218 
READ	:   95	 	 TAG: 01011111( 95)			MISS:	CAPACITY	REPLACE:(237)		CYCLES:10 	AGE:217 
MODIFY	:  211	 	 TAG: 11010011(211)			MISS:	CAPACITY	REPLACE:(219)		CYCLES:10 	AGE:216 
WRITE	:   61	 	 TAG: 00111101( 61)			MISS:	CAPACITY	REPLACE:(231)		CYCLES:21 	AGE:215 
WRITE	:   27	 	 TAG: 00011011( 27)			MISS:	CAPACITY	REPLACE:( 78)		CYCLES:21 	AGE:214 
WRITE	:   99	 	 TAG: 01100011( 99)			MISS:	CAPACITY	REPLACE:( 33)		CYCLES:21 	AGE:213 
MODIFY	:  121	 	 TAG: 01111001(121)			MISS:	CAPACITY	REPLACE:(160)		CYCLES:10 	AGE:212 
WRITE	:  250	 	 TAG: 11111010(250)			MISS:	CAPACITY	REPLACE:(197)		CYCLES:21 	AGE:211 
READ	:   92	 	 TAG: 01011100( 92)			MISS:	CAPACITY	REPLACE:(133)		CYCLES:10 	AGE:210 
READ	:  245	 	 TAG: 11110101(245)			MISS:	CAPACITY	REPLACE:( 95)		CYCLES:10 	AGE:209 
WRITE	:  109	 	 TAG: 01101101(109)			MISS:	CAPACITY	REPLACE:(211)		CYCLES:21 	AGE:208 
READ	:  223	 	 TAG: 11011111(223)			MISS:	CAPACITY	REPLACE:( 61)		CYCLES:10 	AGE:207 
WRITE	:  162	 	 TAG: 10100010(162)			MISS:	CAPACITY	REPLACE:( 27)		CYCLES:21 	AGE:206 
WRITE	:  240	 	 TAG: 11110000(240)			MISS:	CAPACITY	REPLACE:( 99)		CYCLES:21 	AGE:205 
READ	:   61	 	 TAG: 00111101( 61)			L2_HIT									CYCLES:3 	AGE:212 
MODIFY	:  202	 	 TAG: 11001010(202)			MISS:	CAPACITY	REPLACE:(121)		CYCLES:10 	AGE:203 
WRITE	:  176	 	 TAG: 10110000(176)			VICTIM_HIT								CYCLES:20 	AGE:211 
READ	:  166	 	 TAG: 10100110(166)			MISS:	CAPACITY	REPLACE:(250)		CYCLES:10 	AGE:201 
WRITE	:   62	 	 TAG: 00111110( 62)			MISS:	CAPACITY	REPLACE:( 92)		CYCLES:21 	AGE:200 
WRITE	:  124	 	 TAG: 01111100(124)			MISS:	CAPACITY	REPLACE:(245)		CYCLES:21 	AGE:199 
MODIFY	:  100	 	 TAG: 01100100(100)			VICTIM_HIT								CYCLES:6 	AGE:208 
READ	:  206	 	 TAG: 11001110(206)			MISS:	CAPACITY	REPLACE:(109)		CYCLES:10 	AGE:197 
READ	:  140	 	 TAG: 10001100(140)			MISS:	CAPACITY	REPLACE:(223)		CYCLES:10 	AGE:196 
MODIFY	:  202	 	 TAG: 11001010(202)			HIT										CYCLES:1 	AGE:203 
READ	:  209	 	 TAG: 11010001(209)			MISS:	CAPACITY	REPLACE:(162)		CYCLES:10 	AGE:194 
MODIFY	:  239	 	 TAG: 11101111(239)			MISS:	CAPACITY	REPLACE:(240)		CYCLES:10 	AGE:193 
READ	:  120	 	 TAG: 01111000(120)			MISS:	CAPACITY	REPLACE:(202)		CYCLES:10 	AGE:192 
WRITE	:  216	 	 TAG: 11011000(216)			MISS:	CAPACITY	REPLACE:(166)		CYCLES:21 	AGE:191 
MODIFY	:   53	 	 TAG: 00110101( 53)			MISS:	CAPACITY	REPLACE:( 62)		CYCLES:10 	AGE:190 
WRITE	:   24	 	 TAG: 00011000( 24)			MISS:	CAPACITY	REPLACE:(124)		CYCLES:21 	AGE:189 
WRITE	:  131	 	 TAG: 10000011(131)			MISS:	CAPACITY	REPLACE:(206)		CYCLES:21 	AGE:188 
MODIFY	:   39	 	 TAG: 00100111( 39)			MISS:	CAPACITY	REPLACE:(140)		CYCLES:10 	AGE:187 
READ	:  249	 	 TAG: 11111001(249)			MISS:	CAPACITY	REPLACE:(209)		CYCLES:10 	AGE:186 
READ	:   94	 	 TAG: 01011110( 94)			MISS:	CAPACITY	REPLACE:(239)		CYCLES:10 	AGE:185 
READ	:    3	 	 TAG: 00000011(  3)			MISS:	CAPACITY	REPLACE:(120)		CYCLES:10 	AGE:184 
READ	:  250	 	 TAG: 11111010(250)			VICTIM_HIT								CYCLES:6 	AGE:191 
READ	:  206	 	 TAG: 11001110(206)			L2_HIT									CYCLES:3 	AGE:191 
MODIFY	:  103	 	 TAG: 01100111(103)			MISS:	CAPACITY	REPLACE:(216)		CYCLES:10 	AGE:181 
MODIFY	:  127	 	 TAG: 01111111(127)			MISS:	CAPACITY	REPLACE:( 53)		CYCLES:10 	AGE:180 
WRITE	:  254	 	 TAG: 11111110(254)			MISS:	CAPACITY	REPLACE:( 24)		CYCLES:21 	AGE:179 
READ	:  239	 	 TAG: 11101111(239)			L2_HIT									CYCLES:3 	AGE:188 
MODIFY	:  229	 	 TAG: 11100101(229)			MISS:	CAPACITY	REPLACE:(131)		CYCLES:10 	AGE:177 
READ	:  229	 	 TAG: 11100101(229)			HIT										CYCLES:1 	AGE:177 
WRITE	:  225	 	 TAG: 11100001(225)			MISS:	CAPACITY	REPLACE:( 39)		CYCLES:21 	AGE:175 
MODIFY	:   48	 	 TAG: 00110000( 48)			MISS:	CAPACITY	REPLACE:(249)		CYCLES:10 	AGE:174 
MODIFY	:   63	 	 TAG: 00111111( 63)			MISS:	CAPACITY	REPLACE:( 94)		CYCLES:10 	AGE:173 
MODIFY	:  195	 	 TAG: 11000011(195)			MISS:	CAPACITY	REPLACE:(  3)		CYCLES:10 	AGE:172 
WRITE	:   37	 	 TAG: 00100101( 37)			MISS:	CAPACITY	REPLACE:(103)		CYCLES:21 	AGE:171 
MODIFY	:   68	 	 TAG: 01000100( 68)			MISS:	CAPACITY	REPLACE:(127)		CYCLES:10 	AGE:170 
MODIFY	:   29	 	 TAG: 00011101( 29)			MISS:	CAPACITY	REPLACE:(254)		CYCLES:10 	AGE:169 
READ	:   16	 	 TAG: 00010000( 16)			MISS:	CAPACITY	REPLACE:(229)		CYCLES:10 	AGE:168 
READ	:  159	 	 TAG: 10011111(159)			MISS:	CAPACITY	REPLACE:(225)		CYCLES:10 	AGE:167 
READ	:    7	 	 TAG: 00000111(  7)			MISS:	CAPACITY	REPLACE:( 48)		CYCLES:10 	AGE:166 
WRITE	:  185	 	 TAG: 10111001(185)			MISS:	CAPACITY	REPLACE:( 63)		CYCLES:21 	AGE:165 
WRITE	:   13	 	 TAG: 00001101( 13)			MISS:	CAPACITY	REPLACE:(195)		CYCLES:21 	AGE:164 
WRITE	:   22	 	 TAG: 00010110( 22)			MISS:	CAPACITY	REPLACE:( 37)		CYCLES:21 	AGE:163 
MODIFY	:   31	 	 TAG: 00011111( 31)			MISS:	CAPACITY	REPLACE:( 68)		CYCLES:10 	AGE:162 
WRITE	:    3	 	 TAG: 00000011(  3)			MISS:	CAPACITY	REPLACE:( 29)		CYCLES:21 	AGE:161 
WRITE	:  190	 	 TAG: 10111110(190)			MISS:	CAPACITY	REPLACE:( 16)		CYCLES:21 	AGE:160 
MODIFY	:   56	 	 TAG: 00111000( 56)			MISS:	CAPACITY	REPLACE:(159)		CYCLES:10 	AGE:159 
MODIFY	:   91	 	 TAG: 01011011( 91)			MISS:	CAPACITY	REPLACE:(  7)		CYCLES:10 	AGE:158 
READ	:  203	 	 TAG: 11001011(203)			MISS:	CAPACITY	REPLACE:(185)		CYCLES:10 	AGE:157 
MODIFY	:  182	 	 TAG: 10110110(182)			MISS:	CAPACITY	REPLACE:( 13)		CYCLES:10 	AGE:156 
READ	:   78	 	 TAG: 01001110( 78)			MISS:	CAPACITY	REPLACE:( 22)		CYCLES:10 	AGE:155 
READ	:   32	 	 TAG: 00100000( 32)			MISS:	CAPACITY	REPLACE:( 31)		CYCLES:10 	AGE:154 
READ	:  183	 	 TAG: 10110111(183)			MISS:	CAPACITY	REPLACE:(  3)		CYCLES:10 	AGE:153 
WRITE	:   71	 	 TAG: 01000111( 71)			MISS:	CAPACITY	REPLACE:(190)		CYCLES:21 	AGE:152 
WRITE	:  117	 	 TAG: 01110101(117)			MISS:	CAPACITY	REPLACE:( 56)		CYCLES:21 	AGE:151 
MODIFY	:  173	 	 TAG: 10101101(173)			MISS:	CAPACITY	REPLACE:( 91)		CYCLES:10 	AGE:150 
MODIFY	:  254	 	 TAG: 11111110(254)			VICTIM_HIT								CYCLES:6 	AGE:157 
MODIFY	:   66	 	 TAG: 01000010( 66)			MISS:	CAPACITY	REPLACE:(203)		CYCLES:10 	AGE:148 
WRITE	:   86	 	 TAG: 01010110( 86)			MISS:	CAPACITY	REPLACE:(182)		CYCLES:21 	AGE:147 
READ	:  244	 	 TAG: 11110100(244)			MISS:	CAPACITY	REPLACE:( 78)		CYCLES:10 	AGE:146 
WRITE	:   82	 	 TAG: 01010010( 82)			MISS:	CAPACITY	REPLACE:( 32)		CYCLES:21 	AGE:145 
WRITE	:  181	 	 TAG: 10110101(181)			MISS:	CAPACITY	REPLACE:(183)		CYCLES:21 	AGE:144 
WRITE	:  206	 	 TAG: 11001110(206)			MISS:	CAPACITY	REPLACE:( 71)		CYCLES:21 	AGE:143 
READ	:  139	 	 TAG: 10001011(139)			MISS:	CAPACITY	REPLACE:(117)		CYCLES:10 	AGE:142 
MODIFY	:  166	 	 TAG: 10100110(166)			MISS:	CAPACITY	REPLACE:(173)		CYCLES:10 	AGE:141 
MODIFY	:  158	 	 TAG: 10011110(158)			MISS:	CAPACITY	REPLACE:( 66)		CYCLES:10 	AGE:140 
READ	:  130	 	 TAG: 10000010(130)			MISS:	CAPACITY	REPLACE:( 86)		CYCLES:10 	AGE:139 
WRITE	:  112	 	 TAG: 01110000(112)			MISS:	CAPACITY	REPLACE:(244)		CYCLES:21 	AGE:138 
WRITE	:  177	 	 TAG: 10110001(177)			MISS:	CAPACITY	REPLACE:( 82)		CYCLES:21 	AGE:137 
WRITE	:  118	 	 TAG: 01110110(118)			MISS:	CAPACITY	REPLACE:(181)		CYCLES:21 	AGE:136 
MODIFY	:  188	 	 TAG: 10111100(188)			MISS:	CAPACITY	REPLACE:(206)		CYCLES:10 	AGE:135 
WRITE	:  134	 	 TAG: 10000110(134)			MISS:	CAPACITY	REPLACE:(139)		CYCLES:21 	AGE:134 
READ	:    8	 	 TAG: 00001000(  8)			MISS:	CAPACITY	REPLACE:(166)		CYCLES:10 	AGE:133 
MODIFY	:  209	 	 TAG: 11010001(209)			MISS:	CAPACITY	REPLACE:(158)		CYCLES:10 	AGE:132 
WRITE	:   81	 	 TAG: 01010001( 81)			MISS:	CAPACITY	REPLACE:(130)		CYCLES:21 	AGE:131 
READ	:  123	 	 TAG: 01111011(123)			MISS:	CAPACITY	REPLACE:(112)		CYCLES:10 	AGE:130 
MODIFY	:   14	 	 TAG: 00001110( 14)			MISS:	CAPACITY	REPLACE:(177)		CYCLES:10 	AGE:129 
WRITE	:  252	 	 TAG: 11111100(252)			MISS:	CAPACITY	REPLACE:(118)		CYCLES:21 	AGE:128 
READ	:  227	 	 TAG: 11100011(227)			MISS:	CAPACITY	REPLACE:(188)		CYCLES:10 	AGE:127 
READ	:  190	 	 TAG: 10111110(190)			VICTIM_HIT								CYCLES:6 	AGE:134 
MODIFY	:  232	 	 TAG: 11101000(232)			MISS:	CAPACITY	REPLACE:(134)		CYCLES:10 	AGE:125 
READ	:  214	 	 TAG: 11010110(214)			MISS:	CAPACITY	REPLACE:(  8)		CYCLES:10 	AGE:124 
MODIFY	:   88	 	 TAG: 01011000( 88)			MISS:	CAPACITY	REPLACE:(209)		CYCLES:10 	AGE:123 
READ	:  181	 	 TAG: 10110101(181)			VICTIM_HIT								CYCLES:6 	AGE:131 
MODIFY	:  125	 	 TAG: 01111101(125)			MISS:	CAPACITY	REPLACE:( 81)		CYCLES:10 	AGE:121 
MODIFY	:  125	 	 TAG: 01111101(125)			HIT										CYCLES:1 	AGE:121 
MODIFY	:  151	 	 TAG: 10010111(151)			MISS:	CAPACITY	REPLACE:(123)		CYCLES:10 	AGE:119 
READ	:   92	 	 TAG: 01011100( 92)			MISS:	CAPACITY	REPLACE:( 14)		CYCLES:10 	AGE:118 
WRITE	:  225	 	 TAG: 11100001(225)			MISS:	CAPACITY	REPLACE:(252)		CYCLES:21 	AGE:117 
WRITE	:  213	 	 TAG: 11010101(213)			MISS:	CAPACITY	REPLACE:(227)		CYCLES:21 	AGE:116 
READ	:   63	 	 TAG: 00111111( 63)			MISS:	CAPACITY	REPLACE:(232)		CYCLES:10 	AGE:115 
WRITE	:   64	 	 TAG: 01000000( 64)			MISS:	CAPACITY	REPLACE:(214)		CYCLES:21 	AGE:114 
MODIFY	:   12	 	 TAG: 00001100( 12)			MISS:	CAPACITY	REPLACE:( 88)		CYCLES:10 	AGE:113 
MODIFY	:  129	 	 TAG: 10000001(129)			MISS:	CAPACITY	REPLACE:(125)		CYCLES:10 	AGE:112 
MODIFY	:  101	 	 TAG: 01100101(101)			MISS:	CAPACITY	REPLACE:(151)		CYCLES:10 	AGE:111 
READ	:  148	 	 TAG: 10010100(148)			MISS:	CAPACITY	REPLACE:( 92)		CYCLES:10 	AGE:110 
MODIFY	:  222	 	 TAG: 11011110(222)			MISS:	CAPACITY	REPLACE:(225)		CYCLES:10 	AGE:109 
MODIFY	:  190	 	 TAG: 10111110(190)			VICTIM_HIT								CYCLES:6 	AGE:116 
READ	:  145	 	 TAG: 10010001(145)			MISS:	CAPACITY	REPLACE:(213)		CYCLES:10 	AGE:107 
MODIFY	:  194	 	 TAG: 11000010(194)			MISS:	CAPACITY	REPLACE:( 63)		CYCLES:10 	AGE:106 
WRITE	:  228	 	 TAG: 11100100(228)			MISS:	CAPACITY	REPLACE:( 64)		CYCLES:21 	AGE:105 
READ	:   59	 	 TAG: 00111011( 59)			MISS:	CAPACITY	REPLACE:( 12)		CYCLES:10 	AGE:104 
MODIFY	:   38	 	 TAG: 00100110( 38)			MISS:	CAPACITY	REPLACE:(129)		CYCLES:10 	AGE:103 
READ	:   68	 	 TAG: 01000100( 68)			MISS:	CAPACITY	REPLACE:(101)		CYCLES:10 	AGE:102 
READ	:    7	 	 TAG: 00000111(  7)			MISS:	CAPACITY	REPLACE:(148)		CYCLES:10 	AGE:101 
MODIFY	:  190	 	 TAG: 10111110(190)			MISS:	CAPACITY	REPLACE:(222)		CYCLES:10 	AGE:100 
MODIFY	:    1	 	 TAG: 00000001(  1)			MISS:	CAPACITY	REPLACE:(145)		CYCLES:10 	AGE:99 
READ	:   91	 	 TAG: 01011011( 91)			MISS:	CAPACITY	REPLACE:(194)		CYCLES:10 	AGE:98 
WRITE	:   20	 	 TAG: 00010100( 20)			MISS:	CAPACITY	REPLACE:(228)		CYCLES:21 	AGE:97 
